Registry_ID,Farm_Name,Country,Certification_Year,Status
FT-8819,Finca El Paraiso,Colombia,2023,Active
FT-9920,Coopetarrazu,Costa Rica,2024,Active
FT-1102,Blue Mountain Estate,Jamaica,2022,Active
FT-3341,Kilimanjaro Cooperative,Tanzania,2023,Active
FT-5562,Sumatra Mandheling Co-op,Indonesia,2025,Active
FT-1001,Fazenda Sao Paulo,Brazil,2023,Active
FT-1002,Huehuetenango Co-op,Guatemala,2024,Active
FT-1003,Sidamo Union,Ethiopia,2022,Active
FT-1004,Yirgacheffe Farmers,Ethiopia,2023,Active
FT-1005,Antigua Estates,Guatemala,2025,Active
FT-1006,Tarrazu Valley Farms,Costa Rica,2023,Active
FT-1007,Nariño Co-op,Colombia,2024,Active
FT-1008,Kintamani Highlands,Indonesia,2022,Active
FT-1009,Mount Kenya Co-op,Kenya,2023,Active
FT-1010,Nyeri Farmers,Kenya,2025,Active
FT-1011,Rwanda Hingakawa,Rwanda,2023,Active
FT-1012,Kivu Lake Co-op,Congo,2024,Active
FT-1013,Chiapas Growers,Mexico,2022,Active
FT-1014,Oaxaca Union,Mexico,2023,Active
FT-1015,Copan Estates,Honduras,2025,Active
FT-1016,Marcala Farmers,Honduras,2023,Active
FT-1017,Jinotega Co-op,Nicaragua,2024,Active
FT-1018,Matagalpa Estates,Nicaragua,2022,Active
FT-1019,Boquete Farms,Panama,2023,Active
FT-1020,Volcan Baru Co-op,Panama,2025,Active
FT-1021,Apaneca Growers,El Salvador,2023,Active
FT-1022,Santa Ana Estates,El Salvador,2024,Active
FT-1023,Cajamarca Co-op,Peru,2022,Active
FT-1024,Cusco Farmers,Peru,2023,Active
FT-1025,Chanchamayo Union,Peru,2025,Active
FT-1026,Coroico Farms,Bolivia,2023,Active
FT-1027,Yungas Co-op,Bolivia,2024,Active
FT-1028,Loja Estates,Ecuador,2022,Active
FT-1029,Galapagos Farmers,Ecuador,2023,Active
FT-1030,Monsooned Malabar Co-op,India,2025,Active